Class,Train,Lý do,Việc cần làm
R.301e,16,Train support < 30,Đưa vào Minority Augmentation
W.205c,17,Train support < 30,Đưa vào Minority Augmentation
I.409,20,Train support < 30,Đưa vào Minority Augmentation
S.505a_Xe máy,20,Train support < 30,Đưa vào Minority Augmentation
S.505a_Xe tải và công,21,Train support < 30,Đưa vào Minority Augmentation
W.239b_,21,Train support < 30,Đưa vào Minority Augmentation
P.124d,23,Train support < 30,Đưa vào Minority Augmentation
W.203c,23,Train support < 30,Đưa vào Minority Augmentation
W.205a,26,Train support < 30,Đưa vào Minority Augmentation
W.225,28,Train support < 30,Đưa vào Minority Augmentation
