Class,Train,Recall Val,F1 Val,Lý do,Việc cần làm
W.205a,26,0.00%,0.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.205c,17,0.00%,0.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.124d,23,33.33%,25.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.246a,64,25.00%,25.00%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.107,171,28.57%,33.33%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.203c,23,33.33%,33.33%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
I.409,20,33.33%,40.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.127_80,168,38.10%,42.11%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.207,204,38.46%,42.55%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.104,36,50.00%,44.44%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.129,44,33.33%,44.44%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.224,249,41.94%,47.27%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
S.505a_Xe tải và công,21,33.33%,50.00%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.239b_,21,66.67%,50.00%,"ít mẫu train, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.131a,348,46.51%,50.63%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.117_,58,57.14%,53.33%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
P.102,376,93.62%,53.99%,F1 Val < 60%,Ưu tiên augmentation/kiểm tra recall
P.124c,176,45.45%,57.14%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
S.505a_Xe máy,20,100.00%,57.14%,"ít mẫu train, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.210,32,50.00%,57.14%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.225,28,50.00%,57.14%,"ít mẫu train, Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
W.201a,145,50.00%,58.06%,"Recall Val < 60%, F1 Val < 60%",Ưu tiên augmentation/kiểm tra recall
B.8a,65,62.50%,58.82%,F1 Val < 60%,Ưu tiên augmentation/kiểm tra recall
W.245a,297,54.05%,61.54%,Recall Val < 60%,Ưu tiên augmentation/kiểm tra recall
P.127_40,220,55.56%,62.50%,Recall Val < 60%,Ưu tiên augmentation/kiểm tra recall
P.127_60,367,54.35%,63.29%,Recall Val < 60%,Ưu tiên augmentation/kiểm tra recall
W.221b,104,53.85%,70.00%,Recall Val < 60%,Ưu tiên augmentation/kiểm tra recall
R.301e,16,100.00%,80.00%,ít mẫu train,Ưu tiên augmentation/kiểm tra recall
