Class,Train,Val,Test
R.301e,16,2,3
W.205c,17,2,3
I.409,20,3,3
S.505a_Xe máy,20,2,3
S.505a_Xe tải và công,21,3,3
W.239b_,21,3,3
P.124d,23,3,3
W.203c,23,3,3
W.205a,26,3,4
W.225,28,4,4
Camera,30,4,4
W.210,32,4,5
R.303,34,4,5
P.104,36,4,5
W.205b,37,5,5
P.103a,41,5,6
P.129,44,6,6
P.117_,58,7,8
P.139,60,7,8
W.246a,64,8,8
B.8a,65,8,9
P.106a_Xe tải,68,8,9
P.137,69,9,9
P.124a_,84,10,11
W.201b,96,12,13
W.221b,104,13,14
S.505a_Xe tải,110,14,14
W.201a,145,18,19
P.123b,148,19,19
P.127_50,151,19,19
I.407a,156,19,20
P.127_80,168,21,21
I.434a,170,21,22
P.107,171,21,22
P.124c,176,22,23
P.123a,197,25,25
W.207,204,26,26
P.127_40,220,27,28
R.415a,224,28,28
W.224,249,31,32
W.245a,297,37,38
P.131a,348,43,44
R.302a,363,45,46
P.127_60,367,46,46
P.111,372,46,47
P.102,376,47,47
P.130,856,107,108
